Entity,Code,Year,Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from land use change and forestry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport,Carbon dioxide emissions from manufacturing and construction,Fugitive emissions of carbon dioxide from energy production,Carbon dioxide emissions from electricity and heat,Carbon dioxide emissions from bunker fuels
Afghanistan,AFG,1990,129999.99,50000,-2390000,0,970000,570000,,320000,20000
Afghanistan,AFG,1991,140000,50000,-2390000,0,930000,530000,,300000,20000
Afghanistan,AFG,1992,150000,50000,-2390000,0,740000,390000,,200000,20000
Afghanistan,AFG,1993,160000,50000,-2390000,0,740000,380000,,200000,20000
Afghanistan,AFG,1994,160000,50000,-2390000,0,730000,360000,,190000,20000
Afghanistan,AFG,1995,160000,50000,-2390000,0,730000,340000,,180000,20000
Afghanistan,AFG,1996,170000,50000,-2390000,0,700000,320000,,170000,20000
Afghanistan,AFG,1997,170000,50000,-2390000,0,670000,300000,,160000,20000
Afghanistan,AFG,1998,170000,50000,-2390000,0,670000,280000,,160000,20000
Afghanistan,AFG,1999,170000,50000,-2390000,0,490000,250000,,160000,20000
Afghanistan,AFG,2000,160000,10000,-2390000,0,510000,230000,,160000,20000
Afghanistan,AFG,2001,170000,10000,120000,0,510000,230000,,180000,20000
Afghanistan,AFG,2002,170000,10000,120000,0,510000,560000,,150000,20000
Afghanistan,AFG,2003,180000,10000,120000,0,720000,490000,,259999.98,30000
Afghanistan,AFG,2004,200000,10000,120000,0,600000,240000,,230000,30000
Afghanistan,AFG,2005,240000,10000,120000,0,1130000,350000,,230000,70000
Afghanistan,AFG,2006,230000,10000,120000,0,1430000,350000,,270000,80000
Afghanistan,AFG,2007,230000,10000,120000,0,1600000,740000,,270000,110000
Afghanistan,AFG,2008,230000,20000,120000,0,2680000,1210000,,240000,160000
Afghanistan,AFG,2009,390000,10000,120000,0,4370000,1670000,,120000,240000
Afghanistan,AFG,2010,500000,10000,120000,0,5540000,2390000,,140000,350000
Afghanistan,AFG,2011,820000,10000,-250000,60000,6710000,4170000,,190000,980000
Afghanistan,AFG,2012,840000,30000,-250000,100000,5850000,3250000,,150000,290000
Afghanistan,AFG,2013,1340000,40000,-250000,110000,4330000,3370000,,220000,190000
Afghanistan,AFG,2014,1730000,30000,-250000,120000,3530000,3710000,,170000,180000
Afghanistan,AFG,2015,2490000,40000,-250000,140000,4300000,2930000,,170000,90000
Afghanistan,AFG,2016,2600000,80000,150000,140000,3310000,2980000,,190000,70000
Afghanistan,AFG,2017,2220000,40000,150000,140000,3940000,3480000,,190000,190000
Afghanistan,AFG,2018,2170000,60000,150000,230000,4410000,3860000,,240000,170000
Afghanistan,AFG,2019,2390000,40000,150000,160000,4550000,3910000,,240000,30000
Afghanistan,AFG,2020,2390000,60000,150000,70000,5070000,4290000,,170000,40000
Afghanistan,AFG,2021,2430000,20000,150000,80000,5420000,4590000,,160000,40000
Africa,,1990,43050000,22770000,960360000,8890000,111770000,117220000,69990000,241730000,27880000
Africa,,1991,44160000,24380000,960360000,9370000,116990000,109650000,79500000,247519980,28310000
Africa,,1992,45180000,24760000,960360000,9320000,122780000,106369990,79780000,253279980,30580000
Africa,,1993,47590000,24400000,960360000,11500000,121830000,98729990,86230000,265670020,30519998
Africa,,1994,47560000,24900000,960340030,12550000,123270000,91120000,92670000,271490000,36030000
Africa,,1995,47720000,26910000,961050000,13650000,132330000,94190000,104160000,284720000,37750000
Africa,,1996,48340000,27449998,961040000,13610001,137780000,102140000,119590000,292120000,41239996
Africa,,1997,50290000,27530000,961099970,13240000,146690000,106670000,107910000,308610000,38489996
Africa,,1998,49830000,28590000,961310000,14860000,147030000,107790000,101350000,322450000,37530000
Africa,,1999,50530000,29720000,961710000,14500000,155240000,104970000,97810000,319600000,42850000
Africa,,2000,50840000,30910000,961789950,13910000,159740000,104580000,102980000,328109980,41850000
Africa,,2001,56500000,32430000,995650000,12930000,167320000,108400000,98390000,374240030,39300000
Africa,,2002,60270000,34920000,995720000,12250000,175570000,110020000,82430000,385510000,37300000
Africa,,2003,62100000,35260004,995669950,12280000,186050000,114260000,91700010,403149980,40230000
Africa,,2004,64690004,38040000,995720000,14260000,193680000,121410000,87910000,435330000,38530000
Africa,,2005,69140000,41910000,995780000,18350000,198270000,135220000,85750000,439589980,38430000
Africa,,2006,71330000,45730000,995789950,21580000,203129980,134440000,80020010,447690020,37710000
Africa,,2007,79720000,49210000,995760000,23090000,213280000,136260000,70350000,462610020,39730000
Africa,,2008,84900000,51840000,995810000,22650000,227170000,136890000,70920000,500880000,40890000
Africa,,2009,85170000,58060000,995890000,25540000,236660000,145970000,66250000,468740000,38060000
Africa,,2010,67620000,59670000,995950000,29250000,257709980,140530000,69300000,522300000,41900000
Africa,,2011,71630000,58930000,1204090000,30730000,267989980,140640000,59610000,516730000,41010000
Africa,,2012,84479990,63770000,1204310000,31779998,290880000,138380000,64370004,543070000,43410000
Africa,,2013,88369990,65690004,1204270100,29260000,315570020,150530000,62080000,547930000,41310000
Africa,,2014,89470000,70070000,1204220000,28970000,328850020,153300000,60620000,576530050,41470000
Africa,,2015,88680000,74070000,1204220000,28180000,332330000,149640000,60870000,569330050,42260004
Africa,,2016,87830000,77400000,1244330000,23220000,348010020,152140000,59620000,570320000,39960000
Africa,,2017,102410000,75910000,1244260000,25900000,348760000,153830000,59710000,578779970,43250000
Africa,,2018,98130000,77330000,1244220000,25850000,359210000,167800000,59260000,580340030,46460000
Africa,,2019,92290000,78410000,1244020000,26920000,363020000,159500000,60920000,601810000,46830000
Africa,,2020,92220000,76450000,1244000000,24470000,335530000,144500000,54540000,543770050,31070000
Africa,,2021,94850000,84870000,1244000000,24580000,363149980,161040020,56040000,571430000,33520000
Albania,ALB,1990,310000,380000,180000,1790000,710000,2140000,,730000,0
Albania,ALB,1991,360000,310000,180000,960000,540000,1420000,,540000,0
Albania,ALB,1992,280000,100000,180000,290000,410000,760000,,400000,0
Albania,ALB,1993,170000,100000,180000,220000,510000,540000,,530000,0
Albania,ALB,1994,160000,50000,180000,170000,640000,460000,,600000,0
Albania,ALB,1995,250000,100000,180000,80000,630000,490000,,400000,0
Albania,ALB,1996,340000,100000,180000,110000,620000,460000,,330000,0
Albania,ALB,1997,330000,50000,180000,40000,490000,240000,,320000,0
Albania,ALB,1998,240000,40000,180000,50000,740000,400000,,330000,0
Albania,ALB,1999,240000,60000,180000,510000,1410000,490000,,290000,110000
Albania,ALB,2000,259999.98,90000,180000,510000,1470000,470000,,380000,120000
Albania,ALB,2001,280000,0,-1120000,519999.97,1550000,540000,,350000,129999.99
Albania,ALB,2002,620000,0,-1120000,550000,1770000,430000,,390000,129999.99
Albania,ALB,2003,450000,300000,-1120000,600000,1920000,500000,,360000,140000
Albania,ALB,2004,400000,300000,-1120000,490000,2310000,550000,,280000,150000
Albania,ALB,2005,370000,259999.98,-1120000,340000,2380000,450000,,300000,180000
Albania,ALB,2006,410000,280000,-1120000,530000,1920000,680000,,259999.98,140000
Albania,ALB,2007,280000,470000,-1120000,440000,2100000,640000,,330000,60000
Albania,ALB,2008,340000,480000,-1120000,320000,2290000,500000,,280000,80000
Albania,ALB,2009,360000,590000,-1120000,200000,2310000,780000,,129999.99,60000
